Nose_x,Nose_y,LeftEye_x,LeftEye_y,RightEye_x,RightEye_y,LeftEar_x,LeftEar_y,RightEar_x,RightEar_y,LeftShoulder_x,LeftShoulder_y,RightShoulder_x,RightShoulder_y,LeftElbow_x,LeftElbow_y,RightElbow_x,RightElbow_y,LeftWrist_x,LeftWrist_y,RightWrist_x,RightWrist_y,LeftHip_x,LeftHip_y,RightHip_x,RightHip_y,LeftKnee_x,LeftKnee_y,RightKnee_x,RightKnee_y,LeftAnkle_x,LeftAnkle_y,RightAnkle_x,RightAnkle_y,IsArmStretch,IsLegStretch,IsLegClose,IsKneeStop,IsChinOver,PullUpCount,TryCount
309.61914,447.7168,320.12695,442.4629,299.11133,442.4629,341.14258,452.9707,288.60352,452.9707,367.4121,484.49414,272.8418,489.74805,398.93555,389.92383,230.81055,395.17773,430.45898,321.62305,209.79492,311.11523,356.9043,684.1426,283.3496,684.1426,351.6504,847.0137,293.85742,847.0137,341.14258,967.8535,299.11133,973.1074,1.0,1.0,1.0,1.0,0.0,0.0,1
310.10938,446.95312,320.63022,441.69272,299.58853,441.69272,341.67188,452.21353,289.06772,457.47397,367.97397,483.77603,273.28647,494.29688,399.53647,394.34897,231.20312,394.34897,431.09897,320.70312,204.90105,310.18228,357.45312,688.9323,283.80728,688.9323,352.19272,846.7448,294.32812,852.0052,341.67188,967.7344,299.58853,967.7344,1.0,1.0,1.0,1.0,0.0,0.0,1
310.08984,447.42578,320.63672,442.15234,299.54297,442.15234,341.73047,452.69922,288.9961,452.69922,368.09766,484.33984,273.17578,489.61328,399.73828,389.41797,230.98828,394.6914,431.3789,320.86328,209.89453,310.3164,357.55078,684.73047,283.72266,690.0039,352.27734,848.20703,294.26953,848.20703,341.73047,969.4961,299.54297,969.4961,1.0,1.0,1.0,1.0,0.0,0.0,1
309.60938,446.95312,320.13022,441.69272,299.08853,441.69272,341.17188,452.21353,288.56772,452.21353,367.47397,483.77603,272.78647,489.03647,399.03647,389.08853,230.70312,394.34897,430.59897,315.44272,209.66145,310.18228,356.95312,683.6719,288.56772,683.6719,351.69272,846.7448,293.82812,846.7448,341.17188,972.9948,299.08853,967.7344,1.0,1.0,1.0,1.0,0.0,0.0,1
309.6289,447.48047,320.1237,442.23306,299.13412,442.23306,341.11328,452.72787,288.6393,452.72787,367.35025,484.21225,272.89713,489.45963,398.83463,389.75912,230.91797,389.75912,430.319,316.29556,209.92839,311.0482,356.85547,683.6133,288.6393,683.6133,351.60806,846.28253,293.88672,846.28253,341.11328,972.22003,299.13412,966.97266,1.0,1.0,1.0,1.0,0.0,0.0,1
310.61914,446.7168,321.12695,441.4629,300.11133,441.4629,342.14258,451.9707,284.3496,451.9707,368.4121,483.49414,273.8418,499.25586,399.93555,388.92383,231.81055,394.17773,431.45898,315.36914,210.79492,310.11523,357.9043,683.1426,289.60352,688.3965,352.6504,846.0137,294.85742,846.0137,342.14258,972.1074,300.11133,966.8535,1.0,1.0,1.0,1.0,0.0,0.0,1
311.60938,439.69272,322.13022,429.17188,301.08853,429.17188,348.43228,450.21353,285.30728,450.21353,369.47397,481.77603,274.78647,492.29688,406.29688,392.34897,232.70312,392.34897,432.59897,318.70312,211.66145,308.18228,358.95312,681.6719,290.56772,681.6719,353.69272,834.22394,290.56772,839.4844,343.17188,960.47394,301.08853,965.7344,1.0,1.0,1.0,1.0,0.0,0.0,1
310.66797,433.09244,321.1107,427.8711,300.22525,427.8711,347.21744,443.53516,284.5612,448.7565,368.10287,480.08463,268.89713,480.08463,404.65234,401.7643,232.34766,391.32162,430.75912,318.22266,211.46223,307.77994,357.66016,668.0534,289.78256,673.2747,352.4388,824.69403,295.0039,829.91534,347.21744,950.00653,300.22525,950.00653,1.0,1.0,1.0,1.0,0.0,0.0,1
315.9707,427.50977,326.0879,422.45117,300.79492,422.45117,346.32227,442.68555,285.61914,437.62695,371.61523,478.0957,265.38477,478.0957,407.0254,397.1582,229.97461,392.0996,437.37695,316.2207,209.74023,306.10352,361.49805,660.2051,290.67773,660.2051,351.38086,817.0215,295.73633,817.0215,346.32227,943.4863,300.79492,943.4863,1.0,1.0,1.0,1.0,0.0,0.0,1
316.49023,421.15042,326.5293,416.1309,301.43164,416.1309,346.60742,436.209,291.39258,431.18948,371.70508,471.3457,266.29492,471.3457,411.86133,396.05276,226.13869,391.03323,436.95898,315.74026,211.0801,305.7012,361.66602,647.0293,286.37305,647.0293,351.62695,802.63477,296.4121,807.6543,346.60742,923.1035,296.4121,933.1426,1.0,1.0,1.0,1.0,0.0,0.0,1
315.86133,400.20117,330.13867,395.44205,306.3431,395.44205,353.93423,414.47852,292.06577,414.47852,372.9707,462.06967,268.27017,457.31055,420.56186,395.44205,225.43816,385.92383,439.5983,314.5371,211.16081,305.0189,363.45248,623.8796,292.06577,623.8796,353.93423,785.68945,292.06577,785.68945,344.41602,899.9082,296.82486,904.6673,1.0,1.0,1.0,1.0,0.0,0.0,1
320.14648,393.91602,329.56055,384.50195,306.0254,389.20898,353.0957,403.33008,291.9043,408.0371,376.63086,450.4004,268.36914,455.10742,428.4082,393.91602,221.29883,389.20898,437.82227,313.89648,211.88477,304.48242,362.50977,610.43945,291.9043,610.43945,357.80273,770.4785,291.9043,770.4785,343.68164,878.74023,291.9043,897.56836,0.0,1.0,1.0,1.0,0.0,0.0,1
320.70834,381.12497,329.875,371.9583,306.95834,371.9583,352.79166,394.87497,293.20834,394.87497,375.70834,440.7083,270.29166,445.29166,430.70834,390.29166,219.87498,385.7083,439.875,316.9583,210.70833,307.79163,357.375,596.5417,288.625,591.9583,361.95834,756.9584,293.20834,752.375,343.625,866.9584,293.20834,880.7084,0.0,1.0,1.0,1.0,0.0,0.0,1
320.7539,369.65234,329.73828,365.16016,307.27734,365.16016,352.19922,387.6211,289.3086,387.6211,374.66016,432.54297,271.33984,432.54297,433.0586,392.11328,212.9414,387.6211,442.04297,311.2539,212.9414,306.76172,361.1836,580.78516,289.3086,580.78516,361.1836,738.0117,293.80078,738.0117,343.21484,854.8086,289.3086,868.28516,0.0,1.0,1.0,1.0,0.0,0.0,1
316.56445,344.0944,329.43555,335.51364,307.98373,335.51364,346.59702,361.25583,290.82227,361.25583,380.91992,404.1595,269.37042,412.7402,436.69467,391.2884,205.01497,386.99802,445.2754,309.77145,209.30533,305.48108,359.4681,554.32227,290.82227,554.32227,363.75845,717.35614,295.11264,717.35614,342.30664,837.4863,290.82227,846.0671,0.0,1.0,1.0,1.0,0.0,0.0,1
316.14258,328.32227,328.85742,324.08398,307.66602,324.08398,345.81055,349.51367,290.7129,349.51367,379.7168,391.89648,269.52148,400.37305,439.05273,387.6582,205.94727,383.41992,443.29102,311.36914,210.18555,307.13086,362.76367,540.2363,290.7129,544.4746,362.76367,705.5293,294.95117,705.5293,341.57227,828.43945,290.7129,836.916,0.0,1.0,1.0,1.0,0.0,0.0,1
314.58334,313.41666,327.08334,309.25,306.25,309.25,347.91666,338.41666,293.75,338.41666,377.08334,384.25,268.75,384.25,439.58334,388.41666,206.25,384.25,443.75,309.25,210.41667,305.08334,364.58334,530.0833,293.75,530.0833,364.58334,696.75,293.75,692.5833,343.75,817.5833,293.75,830.0833,0.0,1.0,1.0,1.0,0.0,0.0,1
315.82748,302.97983,328.03452,294.8418,307.68945,294.8418,348.37955,323.32486,291.41342,323.32486,376.86264,372.15298,271.06836,372.15298,441.9668,388.42905,201.89519,384.36002,446.0358,311.11783,210.0332,307.04883,360.58658,518.6374,291.41342,518.6374,360.58658,685.4668,295.48242,677.3288,348.37955,811.60614,291.41342,815.6751,0.0,1.0,1.0,1.0,0.0,0.0,1
312.07748,288.01627,324.01108,284.03842,308.0996,280.06055,347.87827,299.94986,288.2103,299.94986,379.70117,351.6621,272.29883,355.63998,443.34702,387.4629,200.69727,383.48502,447.32486,307.9056,208.653,303.92773,363.7897,506.79883,292.18814,506.79883,359.81186,665.9134,296.16602,661.93555,347.87827,797.1829,292.18814,801.1608,0.0,1.0,1.0,1.0,0.0,0.0,1
310.64584,277.9375,326.47916,273.97916,306.6875,273.97916,346.27084,293.77084,298.77084,293.77084,381.89584,345.22916,271.0625,345.22916,441.27084,384.8125,203.77083,380.85416,449.1875,309.60416,207.72917,305.64584,362.10416,503.5625,290.85416,499.60416,362.10416,661.8958,294.8125,657.9375,350.22916,796.4792,294.8125,796.4792,0.0,1.0,1.0,1.0,1.0,0.0,1
